b,2 cores,4 cores,8 cores,16 cores,32 cores,40 cores
26,0,0,5.00011,0,0,8.00014
28,0,8.00014,0,3.00002,1.99986,0
210,0,7.9999,9.00006,16,12.0001,0
212,16,0,9.99999,9.99999,0,0
