b,2 cores,4 cores,8 cores,16 cores,32 cores,40 cores
26,0,0,0,8.00014,7.9999,0
28,0,0,7.9999,0,0,0
210,9.00006,0,8.99982,0,0.999928,9.00006
212,7.9999,11.0002,0,9.00006,9.00006,8.99982
