b,2 cores,4 cores,8 cores,16 cores,32 cores,40 cores
64,0,0,0,16,14.9999,16
256,0,16,22.0001,2.00009,15.0001,17.9999
1024,52,84.0001,93.9999,105,107,86.9999
4096,617,866,1542,1272,1382,1435
