b,2 cores,4 cores,8 cores,16 cores,32 cores,40 cores
64,16,0,15.9998,12.0001,18.0001,17
256,15.0001,6.99997,0,14.9999,17,16
1024,50.0002,90.9998,116,123,122,115
4096,675,991,1508,1299,1446,1485
