b,2 cores,4 cores,8 cores,16 cores,32 cores,40 cores
64,4.00,6.00,4.00,5.00,4.00,3.00
256,9.00,15.00,11.00,12.00,11.00,16.00
1024,54.00,77.00,92.00,80.00,88.00,103.00
4096,567.00,822.00,1348.00,1242.00,1384.00,1325.00
