b,2 cores,4 cores,8 cores,16 cores,32 cores,40 cores
64,0.00,0.00,17.00,16.00,10.00,17.00
256,0.00,0.00,0.00,17.00,16.00,18.00
1024,51.00,66.00,102.00,100.00,101.00,85.00
4096,500.00,833.00,1518.00,1301.00,1282.00,1386.00
