b,2 cores,4 cores,8 cores,16 cores,32 cores,40 cores
26,16,0,2.00009,3.99995,0,0
28,0,0.999928,0,0,0,2.00009
210,0,2.00009,9.00006,10.9999,12.0001,17
212,0,7.9999,7.9999,13,10.9999,13
