# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 110K of event 'task-clock'
# Event count (approx.): 110511000000
#
# Children      Self  Command  Shared Object        Symbol                                                         
# ........  ........  .......  ...................  ...............................................................
#
     0.01%     0.00%  main     [kernel.kallsyms]    [k] __mark_inode_dirty
     0.01%     0.00%  main     [kernel.kallsyms]    [k] ext4_dirty_inode
     0.01%     0.00%  main     libc.so.6            [.] __munmap
     0.01%     0.00%  main     [kernel.kallsyms]    [k] __x64_sys_munmap
     0.01%     0.00%  main     [kernel.kallsyms]    [k] __vm_munmap
     0.01%     0.00%  main     [kernel.kallsyms]    [k] do_vmi_munmap
     0.01%     0.00%  main     [kernel.kallsyms]    [k] do_vmi_align_munmap
     0.01%     0.00%  main     [kernel.kallsyms]    [k] __alloc_pages_slowpath.constprop.0
     0.01%     0.01%  main     [kernel.kallsyms]    [k] charge_memcg
     0.01%     0.00%  main     [kernel.kallsyms]    [k] mpage_map_and_submit_extent
     0.01%     0.00%  main     [kernel.kallsyms]    [k] irq_exit_rcu
     0.01%     0.00%  main     [kernel.kallsyms]    [k] __irq_exit_rcu
     0.01%     0.00%  main     [kernel.kallsyms]    [k] __do_softirq
     0.01%     0.00%  main     [kernel.kallsyms]    [k] unmap_region
     0.01%     0.00%  main     [kernel.kallsyms]    [k] filemap_add_folio
     0.01%     0.00%  main     [kernel.kallsyms]    [k] mpage_map_and_submit_buffers
     0.01%     0.00%  main     [kernel.kallsyms]    [k] __filemap_add_folio
     0.01%     0.00%  main     [kernel.kallsyms]    [k] get_page_from_freelist
     0.01%     0.00%  main     [kernel.kallsyms]    [k] release_pages
     0.01%     0.00%  main     [kernel.kallsyms]    [k] folio_add_lru
     0.01%     0.00%  main     [kernel.kallsyms]    [k] mpage_submit_folio
     0.01%     0.00%  main     [kernel.kallsyms]    [k] unmap_vmas
     0.01%     0.00%  main     [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     0.01%     0.00%  main     [kernel.kallsyms]    [k] unmap_single_vma
     0.01%     0.00%  main     [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     0.01%     0.00%  main     [kernel.kallsyms]    [k] unmap_page_range
     0.01%     0.00%  main     [kernel.kallsyms]    [k] zap_pmd_range.isra.0
     0.01%     0.00%  main     [kernel.kallsyms]    [k] tlb_batch_pages_flush
     0.01%     0.00%  main     [kernel.kallsyms]    [k] free_pages_and_swap_cache
     0.01%     0.01%  main     [kernel.kallsyms]    [k] _raw_spin_unlock_irq
     0.01%     0.01%  main     [kernel.kallsyms]    [k] try_charge_memcg
     0.01%     0.00%  main     [kernel.kallsyms]    [k] ext4_bio_write_folio
     0.01%     0.00%  main     [kernel.kallsyms]    [k] __ext4_mark_inode_dirty
     0.01%     0.00%  main     [kernel.kallsyms]    [k] asm_common_interrupt
     0.01%     0.00%  main     [kernel.kallsyms]    [k] common_interrupt
     0.01%     0.00%  main     [kernel.kallsyms]    [k] folio_add_lru_vma
     0.01%     0.00%  main     [kernel.kallsyms]    [k] folio_batch_move_lru
     0.01%     0.00%  main     [kernel.kallsyms]    [k] try_to_free_pages
     0.01%     0.00%  main     [kernel.kallsyms]    [k] do_try_to_free_pages
     0.01%     0.00%  main     [kernel.kallsyms]    [k] free_unref_page_list
     0.01%     0.00%  main     [kernel.kallsyms]    [k] shrink_zones.constprop.0
     0.01%     0.00%  main     [kernel.kallsyms]    [k] shrink_node
     0.01%     0.00%  main     [kernel.kallsyms]    [k] shrink_many
     0.01%     0.00%  main     [kernel.kallsyms]    [k] shrink_one
     0.01%     0.00%  main     [kernel.kallsyms]    [k] try_to_shrink_lruvec
     0.01%     0.00%  main     [kernel.kallsyms]    [k] evict_folios
     0.01%     0.00%  main     [kernel.kallsyms]    [k] shrink_folio_list
     0.01%     0.00%  main     [kernel.kallsyms]    [k] zap_pte_range
     0.01%     0.00%  main     [kernel.kallsyms]    [k] ext4_mark_iloc_dirty
     0.01%     0.01%  main     [kernel.kallsyms]    [k] clear_page_erms
     0.01%     0.00%  main     [kernel.kallsyms]    [k] jbd2__journal_start
     0.01%     0.01%  main     [kernel.kallsyms]    [k] copyin
     0.01%     0.00%  main     [kernel.kallsyms]    [k] tlb_flush_mmu
     0.01%     0.00%  main     [kernel.kallsyms]    [k] __ext4_journal_start_sb
     0.01%     0.00%  main     [kernel.kallsyms]    [k] copy_page_from_iter_atomic
     0.01%     0.00%  main     [kernel.kallsyms]    [k] free_pcppages_bulk
     0.00%     0.00%  main     [kernel.kallsyms]    [k] rmqueue
