# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'task-clock'
# Event count (approx.): 8302000000
#
# Children      Self  Command  Shared Object      Symbol                                                         
# ........  ........  .......  .................  ...............................................................
#
    99.04%    99.02%  main     main               [.] matrixMultiplyKIJ(double*, double*, double*, int, int, int)
     0.83%     0.00%  main     [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
            |
            ---entry_SYSCALL_64_after_hwframe
               do_syscall_64

     0.83%     0.00%  main     [kernel.kallsyms]  [k] do_syscall_64
            |
            ---do_syscall_64

     0.30%     0.00%  main     libc.so.6          [.] __GI___writev
     0.30%     0.00%  main     [kernel.kallsyms]  [k] __x64_sys_writev
     0.30%     0.00%  main     [kernel.kallsyms]  [k] do_writev
     0.30%     0.00%  main     [kernel.kallsyms]  [k] vfs_writev
     0.30%     0.00%  main     [kernel.kallsyms]  [k] do_iter_write
     0.30%     0.00%  main     [kernel.kallsyms]  [k] do_iter_readv_writev
     0.30%     0.00%  main     [kernel.kallsyms]  [k] ext4_file_write_iter
     0.30%     0.00%  main     [kernel.kallsyms]  [k] ext4_buffered_write_iter
     0.30%     0.00%  main     [kernel.kallsyms]  [k] generic_perform_write
     0.29%     0.00%  main     libc.so.6          [.] read
     0.29%     0.00%  main     [kernel.kallsyms]  [k] __x64_sys_read
     0.29%     0.00%  main     [kernel.kallsyms]  [k] ksys_read
     0.29%     0.00%  main     [kernel.kallsyms]  [k] vfs_read
     0.29%     0.00%  main     [kernel.kallsyms]  [k] ext4_file_read_iter
     0.29%     0.00%  main     [kernel.kallsyms]  [k] generic_file_read_iter
     0.28%     0.00%  main     [kernel.kallsyms]  [k] filemap_read
     0.28%     0.01%  main     [kernel.kallsyms]  [k] copy_page_to_iter
     0.26%     0.00%  main     [kernel.kallsyms]  [k] _copy_to_iter
     0.26%     0.10%  main     [kernel.kallsyms]  [k] copyout
     0.25%     0.07%  main     [kernel.kallsyms]  [k] do_user_addr_fault
     0.25%     0.00%  main     [kernel.kallsyms]  [k] asm_exc_page_fault
     0.25%     0.00%  main     [kernel.kallsyms]  [k] exc_page_fault
     0.17%     0.17%  main     [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.17%     0.02%  main     [kernel.kallsyms]  [k] handle_mm_fault
     0.14%     0.00%  main     [kernel.kallsyms]  [k] __handle_mm_fault
     0.14%     0.00%  main     [kernel.kallsyms]  [k] handle_pte_fault
     0.13%     0.00%  main     [unknown]          [k] 0x67e5d3be826b6eab
     0.13%     0.00%  main     [unknown]          [k] 0x0000000000000017
     0.13%     0.05%  main     libc.so.6          [.] __memset_evex_unaligned_erms
     0.13%     0.00%  main     [kernel.kallsyms]  [k] ext4_da_write_begin
     0.12%     0.01%  main     [kernel.kallsyms]  [k] do_anonymous_page
     0.10%     0.00%  main     libc.so.6          [.] __munmap
     0.10%     0.00%  main     [kernel.kallsyms]  [k] __x64_sys_munmap
     0.10%     0.00%  main     [kernel.kallsyms]  [k] __vm_munmap
     0.10%     0.00%  main     [kernel.kallsyms]  [k] do_vmi_munmap
     0.10%     0.00%  main     [kernel.kallsyms]  [k] __filemap_get_folio
     0.10%     0.00%  main     [kernel.kallsyms]  [k] do_vmi_align_munmap
     0.10%     0.00%  main     [kernel.kallsyms]  [k] unmap_region
     0.08%     0.00%  main     libc.so.6          [.] __close_nocancel
     0.08%     0.00%  main     [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.08%     0.00%  main     [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.08%     0.00%  main     [kernel.kallsyms]  [k] exit_to_user_mode_loop
     0.08%     0.00%  main     [kernel.kallsyms]  [k] task_work_run
     0.08%     0.00%  main     [kernel.kallsyms]  [k] ____fput
     0.08%     0.00%  main     [kernel.kallsyms]  [k] __fput
     0.08%     0.00%  main     [kernel.kallsyms]  [k] ext4_release_file
     0.08%     0.08%  main     [kernel.kallsyms]  [k] copyin
     0.08%     0.00%  main     [kernel.kallsyms]  [k] ext4_alloc_da_blocks
     0.08%     0.00%  main     [kernel.kallsyms]  [k] filemap_flush
     0.08%     0.00%  main     [kernel.kallsyms]  [k] __filemap_fdatawrite_range
     0.08%     0.00%  main     [kernel.kallsyms]  [k] filemap_fdatawrite_wbc
     0.08%     0.00%  main     [kernel.kallsyms]  [k] do_writepages
     0.08%     0.00%  main     [kernel.kallsyms]  [k] ext4_writepages
     0.08%     0.00%  main     [kernel.kallsyms]  [k] ext4_do_writepages
     0.08%     0.00%  main     [kernel.kallsyms]  [k] mpage_map_and_submit_extent
     0.08%     0.00%  main     [kernel.kallsyms]  [k] mpage_map_and_submit_buffers
     0.08%     0.00%  main     [kernel.kallsyms]  [k] release_pages
     0.08%     0.00%  main     [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.08%     0.00%  main     [kernel.kallsyms]  [k] copy_page_from_iter_atomic
     0.08%     0.00%  main     [unknown]          [.] 0000000000000000
     0.07%     0.00%  main     [kernel.kallsyms]  [k] mpage_submit_folio
     0.06%     0.00%  main     [kernel.kallsyms]  [k] ext4_da_write_end
     0.06%     0.00%  main     [kernel.kallsyms]  [k] tlb_finish_mmu
     0.06%     0.00%  main     [kernel.kallsyms]  [k] generic_write_end
     0.06%     0.00%  main     [kernel.kallsyms]  [k] tlb_batch_pages_flush
     0.06%     0.00%  main     [kernel.kallsyms]  [k] __alloc_pages
     0.06%     0.00%  main     [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.06%     0.00%  main     [kernel.kallsyms]  [k] get_page_from_freelist
     0.05%     0.00%  main     [unknown]          [k] 0x6d2f2f687461705f
     0.05%     0.00%  main     libc.so.6          [.] __GI___libc_open
     0.05%     0.00%  main     [kernel.kallsyms]  [k] __x64_sys_openat
     0.05%     0.00%  main     [kernel.kallsyms]  [k] do_sys_openat2
     0.05%     0.01%  main     [kernel.kallsyms]  [k] __filemap_add_folio
     0.05%     0.00%  main     [kernel.kallsyms]  [k] do_filp_open
     0.05%     0.00%  main     [kernel.kallsyms]  [k] path_openat
     0.05%     0.00%  main     [kernel.kallsyms]  [k] do_open
     0.05%     0.00%  main     [kernel.kallsyms]  [k] do_truncate
     0.05%     0.00%  main     [kernel.kallsyms]  [k] notify_change
     0.05%     0.00%  main     [kernel.kallsyms]  [k] ext4_setattr
     0.05%     0.00%  main     [kernel.kallsyms]  [k] filemap_alloc_folio
     0.05%     0.00%  main     [kernel.kallsyms]  [k] truncate_pagecache
     0.05%     0.00%  main     [kernel.kallsyms]  [k] folio_alloc
     0.05%     0.00%  main     [kernel.kallsyms]  [k] truncate_inode_pages_range
     0.05%     0.00%  main     [kernel.kallsyms]  [k] alloc_pages
     0.05%     0.00%  main     [kernel.kallsyms]  [k] unmap_vmas
     0.05%     0.00%  main     [kernel.kallsyms]  [k] filemap_add_folio
     0.05%     0.00%  main     [kernel.kallsyms]  [k] unmap_single_vma
     0.05%     0.00%  main     [kernel.kallsyms]  [k] free_unref_page_list
     0.05%     0.00%  main     [kernel.kallsyms]  [k] unmap_page_range
     0.05%     0.00%  main     [kernel.kallsyms]  [k] ext4_bio_write_folio
     0.05%     0.00%  main     [kernel.kallsyms]  [k] zap_pmd_range.isra.0
     0.05%     0.00%  main     [kernel.kallsyms]  [k] __folio_start_writeback
     0.04%     0.04%  main     [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.04%     0.02%  main     [kernel.kallsyms]  [k] charge_memcg
     0.04%     0.01%  main     [kernel.kallsyms]  [k] __block_commit_write.constprop.0
     0.04%     0.00%  main     [kernel.kallsyms]  [k] block_write_end
     0.04%     0.00%  main     [kernel.kallsyms]  [k] ext4_block_write_begin
     0.04%     0.00%  main     [kernel.kallsyms]  [k] free_unref_page_commit
     0.04%     0.00%  main     [kernel.kallsyms]  [k] free_pcppages_bulk
     0.02%     0.02%  main     [kernel.kallsyms]  [k] mod_lruvec_page_state
     0.02%     0.02%  main     [kernel.kallsyms]  [k] clear_page_erms
     0.02%     0.02%  main     [kernel.kallsyms]  [k] _raw_spin_unlock_irq
     0.02%     0.01%  main     [kernel.kallsyms]  [k] ext4_invalidate_folio
     0.02%     0.01%  main     [kernel.kallsyms]  [k] mark_buffer_dirty
     0.02%     0.02%  main     [kernel.kallsyms]  [k] folio_create_empty_buffers
     0.02%     0.02%  main     [kernel.kallsyms]  [k] _compound_head
     0.02%     0.02%  main     [kernel.kallsyms]  [k] fault_in_readable
     0.02%     0.00%  main     [kernel.kallsyms]  [k] truncate_cleanup_folio
     0.02%     0.00%  main     [kernel.kallsyms]  [k] __mark_inode_dirty
     0.02%     0.00%  main     [kernel.kallsyms]  [k] ext4_dirty_inode
     0.02%     0.00%  main     [kernel.kallsyms]  [k] __ext4_journal_stop
     0.02%     0.00%  main     [kernel.kallsyms]  [k] folio_add_lru_vma
     0.02%     0.00%  main     [kernel.kallsyms]  [k] rmqueue
     0.02%     0.00%  main     [kernel.kallsyms]  [k] __folio_batch_release
     0.02%     0.00%  main     [kernel.kallsyms]  [k] __rmqueue_pcplist
     0.02%     0.00%  main     [kernel.kallsyms]  [k] folio_add_lru
     0.02%     0.00%  main     [kernel.kallsyms]  [k] jbd2_journal_stop
     0.02%     0.00%  main     [kernel.kallsyms]  [k] create_empty_buffers
     0.02%     0.00%  main     [kernel.kallsyms]  [k] fault_in_iov_iter_readable
     0.02%     0.00%  main     [kernel.kallsyms]  [k] folio_batch_move_lru
     0.02%     0.00%  main     [kernel.kallsyms]  [k] folio_clear_dirty_for_io
     0.02%     0.00%  main     [kernel.kallsyms]  [k] rmqueue_bulk
     0.01%     0.01%  main     [kernel.kallsyms]  [k] post_alloc_hook
     0.01%     0.01%  main     [kernel.kallsyms]  [k] folio_memcg_lock
     0.01%     0.01%  main     [kernel.kallsyms]  [k] __rcu_read_unlock
     0.01%     0.01%  main     [kernel.kallsyms]  [k] jbd2_journal_grab_journal_head
     0.01%     0.01%  main     [kernel.kallsyms]  [k] mpage_process_folio
     0.01%     0.01%  main     [kernel.kallsyms]  [k] cache_from_obj
     0.01%     0.01%  main     [kernel.kallsyms]  [k] inc_mm_counter
     0.01%     0.01%  main     [kernel.kallsyms]  [k] stop_this_handle
     0.01%     0.01%  main     [kernel.kallsyms]  [k] try_charge_memcg
     0.01%     0.01%  main     [kernel.kallsyms]  [k] _raw_read_lock
     0.01%     0.01%  main     [kernel.kallsyms]  [k] down_read_trylock
     0.01%     0.01%  main     [kernel.kallsyms]  [k] free_unref_page_prepare
     0.01%     0.01%  main     [kernel.kallsyms]  [k] page_remove_rmap
     0.01%     0.01%  main     [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.01%     0.00%  main     [kernel.kallsyms]  [k] __x64_sys_exit_group
     0.01%     0.01%  main     [kernel.kallsyms]  [k] filemap_get_read_batch
     0.01%     0.00%  main     [kernel.kallsyms]  [k] do_group_exit
     0.01%     0.01%  main     [kernel.kallsyms]  [k] pte_offset_map_nolock
     0.01%     0.00%  main     [kernel.kallsyms]  [k] do_exit
     0.01%     0.01%  main     [kernel.kallsyms]  [k] update_blocked_averages
     0.01%     0.00%  main     [kernel.kallsyms]  [k] exit_mm
     0.01%     0.00%  main     [unknown]          [k] 0x40f157f8a3cc0a67
     0.01%     0.00%  main     [kernel.kallsyms]  [k] mmput
     0.01%     0.00%  main     [kernel.kallsyms]  [k] __mmput
     0.01%     0.00%  main     [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.01%     0.00%  main     [kernel.kallsyms]  [k] exit_mmap
     0.01%     0.00%  main     [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.01%     0.00%  main     [kernel.kallsyms]  [k] block_invalidate_folio
     0.01%     0.00%  main     [kernel.kallsyms]  [k] irq_exit_rcu
     0.01%     0.00%  main     [kernel.kallsyms]  [k] vma_alloc_folio
     0.01%     0.00%  main     [kernel.kallsyms]  [k] __folio_alloc
     0.01%     0.00%  main     [kernel.kallsyms]  [k] __irq_exit_rcu
     0.01%     0.00%  main     [kernel.kallsyms]  [k] filemap_release_folio
     0.01%     0.00%  main     [kernel.kallsyms]  [k] __do_softirq
     0.01%     0.00%  main     [kernel.kallsyms]  [k] ext4_da_get_block_prep
     0.01%     0.00%  main     [kernel.kallsyms]  [k] ext4_release_folio
     0.01%     0.00%  main     [kernel.kallsyms]  [k] __folio_mark_dirty
     0.01%     0.00%  main     [kernel.kallsyms]  [k] ext4_da_map_blocks.constprop.0
     0.01%     0.00%  main     [kernel.kallsyms]  [k] filemap_get_pages
     0.01%     0.00%  main     [kernel.kallsyms]  [k] jbd2_journal_try_to_free_buffers
     0.01%     0.00%  main     [kernel.kallsyms]  [k] kmem_cache_free
     0.01%     0.00%  main     [kernel.kallsyms]  [k] run_rebalance_domains
     0.01%     0.00%  main     [kernel.kallsyms]  [k] zap_pte_range
     0.01%     0.00%  main     [unknown]          [.] 0x406107ca8abe0e7f
     0.01%     0.00%  main     [unknown]          [.] 0x409647856af15ee4
     0.01%     0.00%  main     [unknown]          [.] 0x409bd21c10d0de32
     0.01%     0.00%  main     [unknown]          [.] 0x40a1b3b165b3d3c3
     0.01%     0.00%  main     [unknown]          [.] 0x40a7e0526188fe68
     0.01%     0.00%  main     [unknown]          [.] 0x40acdb1182380072
     0.01%     0.00%  main     [unknown]          [.] 0x40b05cce6afa0d38
     0.01%     0.00%  main     [unknown]          [.] 0x40b370108f581b0c
     0.01%     0.00%  main     [unknown]          [.] 0x40b57e522fa7bfce
     0.01%     0.00%  main     [unknown]          [.] 0x40b61b082b0b78e6
