# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 354K of event 'task-clock'
# Event count (approx.): 354215000000
#
# Children      Self  Command  Shared Object      Symbol                                                         
# ........  ........  .......  .................  ...............................................................
#
    99.95%     0.00%  main     [unknown]          [.] 0x4044b856735ca06c
            |
            ---0x4044b856735ca06c
               matrixMultiplyKJI(double*, double*, double*, int, int, int)

    99.95%    99.93%  main     main               [.] matrixMultiplyKJI(double*, double*, double*, int, int, int)
            |          
             --99.93%--0x4044b856735ca06c
                       matrixMultiplyKJI(double*, double*, double*, int, int, int)

     0.01%     0.00%  main     [kernel.kallsyms]  [k] __fput
     0.01%     0.00%  main     [kernel.kallsyms]  [k] ext4_release_file
     0.01%     0.00%  main     [kernel.kallsyms]  [k] ext4_alloc_da_blocks
     0.01%     0.00%  main     [kernel.kallsyms]  [k] filemap_flush
     0.01%     0.00%  main     [kernel.kallsyms]  [k] __filemap_fdatawrite_range
     0.01%     0.00%  main     [kernel.kallsyms]  [k] filemap_fdatawrite_wbc
     0.01%     0.00%  main     [kernel.kallsyms]  [k] do_writepages
     0.01%     0.00%  main     [kernel.kallsyms]  [k] ext4_writepages
     0.01%     0.00%  main     [kernel.kallsyms]  [k] ext4_do_writepages
     0.01%     0.00%  main     [kernel.kallsyms]  [k] run_rebalance_domains
     0.01%     0.00%  main     [kernel.kallsyms]  [k] ext4_da_write_begin
     0.01%     0.00%  main     [kernel.kallsyms]  [k] release_pages
     0.01%     0.00%  main     [kernel.kallsyms]  [k] irqentry_exit
     0.01%     0.00%  main     [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mpage_map_and_submit_extent
     0.00%     0.00%  main     [kernel.kallsyms]  [k] rebalance_domains
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mpage_map_and_submit_buffers
     0.00%     0.00%  main     [kernel.kallsyms]  [k] unmap_vmas
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_da_write_end
     0.00%     0.00%  main     [kernel.kallsyms]  [k] unmap_single_vma
     0.00%     0.00%  main     [kernel.kallsyms]  [k] generic_write_end
     0.00%     0.00%  main     [kernel.kallsyms]  [k] unmap_page_range
     0.00%     0.00%  main     [kernel.kallsyms]  [k] zap_pmd_range.isra.0
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __filemap_get_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __mark_inode_dirty
     0.00%     0.00%  main     [kernel.kallsyms]  [k] load_balance
     0.00%     0.00%  main     [kernel.kallsyms]  [k] tlb_batch_pages_flush
     0.00%     0.00%  main     [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mpage_submit_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_dirty_inode
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __alloc_pages
     0.00%     0.00%  main     [kernel.kallsyms]  [k] get_page_from_freelist
     0.00%     0.00%  main     [kernel.kallsyms]  [k] zap_pte_range
     0.00%     0.00%  main     [unknown]          [k] 0x6d2f2f687461705f
     0.00%     0.00%  main     libc.so.6          [.] __GI___libc_open
     0.00%     0.00%  main     [kernel.kallsyms]  [k] _raw_spin_unlock_irq
     0.00%     0.00%  main     [kernel.kallsyms]  [k] free_unref_page_list
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __x64_sys_openat
     0.00%     0.00%  main     [kernel.kallsyms]  [k] do_sys_openat2
     0.00%     0.00%  main     [kernel.kallsyms]  [k] do_filp_open
     0.00%     0.00%  main     [kernel.kallsyms]  [k] path_openat
     0.00%     0.00%  main     [kernel.kallsyms]  [k] do_open
     0.00%     0.00%  main     [kernel.kallsyms]  [k] do_truncate
     0.00%     0.00%  main     [kernel.kallsyms]  [k] notify_change
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_setattr
     0.00%     0.00%  main     [kernel.kallsyms]  [k] truncate_pagecache
     0.00%     0.00%  main     [kernel.kallsyms]  [k] truncate_inode_pages_range
     0.00%     0.00%  main     [kernel.kallsyms]  [k] asm_common_interrupt
     0.00%     0.00%  main     [kernel.kallsyms]  [k] common_interrupt
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.00%     0.00%  main     [kernel.kallsyms]  [k] charge_memcg
     0.00%     0.00%  main     [kernel.kallsyms]  [k] rmqueue
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __rmqueue_pcplist
     0.00%     0.00%  main     [kernel.kallsyms]  [k] rmqueue_bulk
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_do_update_inode.isra.0
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_bio_write_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] copyin
     0.00%     0.00%  main     [kernel.kallsyms]  [k] tlb_finish_mmu
     0.00%     0.00%  main     [kernel.kallsyms]  [k] vma_alloc_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __folio_alloc
