Optimizations,V,E,C,k,1 node (2 procs),2 nodes (4 procs),3 nodes (6 procs),4 nodes (8 procs)
O1,1000,20000,5,10,4980.523090000,2781.930907000,616.369980000,581.213292000
O1,1000,20000,5,50,1037.595626000,1034.567712000,582.221267000,580.585504000
